7.	0.25	1
7.	0.75	5
7.	1.25	2
7.	1.75	4
7.	2.25	1
7.	2.75	3
7.	3.25	0
7.	3.75	2
7.	4.25	2
7.	4.75	1
7.	5.25	3
7.	5.75	2
9.	0.25	7
9.	0.75	9
9.	1.25	6
9.	1.75	3
9.	2.25	0
9.	2.75	4
9.	3.25	5
9.	3.75	3
9.	4.25	5
9.	4.75	2
9.	5.25	5
9.	5.75	2
11.	0.25	8
11.	0.75	13
11.	1.25	4
11.	1.75	5
11.	2.25	7
11.	2.75	7
11.	3.25	5
11.	3.75	3
11.	4.25	6
11.	4.75	1
11.	5.25	7
11.	5.75	1
13.	0.25	9
13.	0.75	10
13.	1.25	5
13.	1.75	5
13.	2.25	4
13.	2.75	3
13.	3.25	2
13.	3.75	2
13.	4.25	2
13.	4.75	0
13.	5.25	4
13.	5.75	3
15.	0.25	3
15.	0.75	3
15.	1.25	4
15.	1.75	0
15.	2.25	6
15.	2.75	4
15.	3.25	3
15.	3.75	3
15.	4.25	5
15.	4.75	2
15.	5.25	3
15.	5.75	3
17.	0.25	4
17.	0.75	4
17.	1.25	2
17.	1.75	2
17.	2.25	5
17.	2.75	2
17.	3.25	1
17.	3.75	5
17.	4.25	1
17.	4.75	2
17.	5.25	3
17.	5.75	1
19.	0.25	5
19.	0.75	2
19.	1.25	3
19.	1.75	2
19.	2.25	3
19.	2.75	2
19.	3.25	1
19.	3.75	2
19.	4.25	2
19.	4.75	4
19.	5.25	3
19.	5.75	1
21.	0.25	7
21.	0.75	0
21.	1.25	0
21.	1.75	0
21.	2.25	3
21.	2.75	1
21.	3.25	3
21.	3.75	2
21.	4.25	1
21.	4.75	3
21.	5.25	1
21.	5.75	2
23.	0.25	1
23.	0.75	2
23.	1.25	5
23.	1.75	1
23.	2.25	2
23.	2.75	4
23.	3.25	1
23.	3.75	0
23.	4.25	2
23.	4.75	1
23.	5.25	0
23.	5.75	2
25.	0.25	1
25.	0.75	1
25.	1.25	1
25.	1.75	3
25.	2.25	2
25.	2.75	3
25.	3.25	2
25.	3.75	1
25.	4.25	2
25.	4.75	1
25.	5.25	3
25.	5.75	1
27.	0.25	3
27.	0.75	1
27.	1.25	2
27.	1.75	1
27.	2.25	5
27.	2.75	2
27.	3.25	3
27.	3.75	2
27.	4.25	6
27.	4.75	2
27.	5.25	1
27.	5.75	1
29.	0.25	3
29.	0.75	0
29.	1.25	2
29.	1.75	2
29.	2.25	1
29.	2.75	2
29.	3.25	1
29.	3.75	2
29.	4.25	0
29.	4.75	0
29.	5.25	0
29.	5.75	4
